"Commune" "Prix_median" "Revenu_median"
"Beauvechain" 319000 30240
"BrainelAlleud" 313500 28866
"BraineleChateau" 295000 28956
"ChaumontGistoux" 407500 30403
"CourtSaintEtienne" 310000 28116
"Genappe" 315000 28505
"GrezDoiceau" 347000 29538
"Incourt" 306250 29583
"Ittre" 260000 28563
"Jodoigne" 245000 26493
"LaHulpe" 390000 28108
"MontSaintGuibert" 312500 29046
"Nivelles" 250000 27112
"Perwez" 250000 27830
"Rixensart" 372000 28581
"Tubize" 231250 25550
"VillerslaVille" 275000 30527
"Waterloo" 415000 29447
"Wavre" 295250 27095
"Chastre" 350000 30080
"Helecine" 229000 28507
"Lasne" 627500 30365
"OrpJauche" 240000 28925
"OttigniesLouvainlaNeuve" 280000 26259
"Ramillies" 289000 29096
"Rebecq" 260000 27094
"Walhain" 3e+05 30853
"Ath" 180000 25985
"Belœil" 150000 25462
"Bernissart" 157000 23954
"Brugelette" 155500 25822
"Chievres" 174325 27766
"Ellezelles" 225000 27158
"Flobecq" 230000 26764
"FrasneslezAnvaing" 175500 27188
"Enghien" 225000 26548
"Silly" 252500 29628
"Lessines" 150000 24618
"ChapellelezHerlaimont" 150000 22710
"Charleroi" 120000 20741
"Chatelet" 130000 21463
"Courcelles" 150000 23532
"Farciennes" 113250 20967
"Fleurus" 163000 23829
"FontainelEveque" 145000 22761
"Gerpinnes" 210000 28382
"MontignyleTilleul" 197500 28686
"PontaCelles" 210000 27966
"AiseauPresles" 165000 24104
"LesBonsVillers" 210000 27352
"Boussu" 126750 20955
"Dour" 120000 21761
"Frameries" 125000 22561
"Hensies" 135000 23279
"Jurbise" 211000 32175
"Lens" 210000 27681
"Mons" 145500 23203
"Quaregnon" 113750 21257
"Quievrain" 125000 21353
"SaintGhislain" 160000 24807
"Colfontaine" 110000 20787
"Honnelles" 170000 26345
"Quevy" 172750 27465
"BraineLeComte" 219000 26811
"LeRœulx" 160000 27521
"Soignies" 205000 26359
"Ecaussinnes" 198750 26462
"Seneffe" 225000 26634
"Manage" 151250 22994
"Anderlues" 150000 23220
"Beaumont" 137500 23731
